lat,lon,risk,day,tier
40.025000000000006,-104.55833330000002,0.0005152300721348323,2021-07-21,Top 20%
40.23333333333334,-106.59999996666667,0.0005106686702817828,2021-07-21,Top 20%
40.23333333333334,-105.76666663333334,0.00048520613546255194,2021-07-21,Top 20%
37.85833333333334,-105.84999996666667,0.0004817279919596159,2021-07-21,Top 20%
40.98333333333334,-102.43333330000002,0.00047288869838274896,2021-07-21,Top 20%
40.35833333333334,-102.68333330000002,0.0004707692280583751,2021-07-21,Top 20%
40.275000000000006,-108.72499996666667,0.0004659429101648845,2021-07-21,Top 20%
37.150000000000006,-102.34999996666667,0.0004592526273408754,2021-07-21,Top 20%
40.150000000000006,-102.30833330000002,0.00045653281271793364,2021-07-21,Top 20%
40.19166666666667,-102.14166663333334,0.00045365589220024095,2021-07-21,Top 20%
39.650000000000006,-106.39166663333334,0.00042734472326050923,2021-07-21,Top 20%
37.98333333333334,-104.76666663333334,0.0004234396502701299,2021-07-21,Top 20%
40.44166666666667,-102.55833330000002,0.00042219656572805783,2021-07-21,Top 20%
40.44166666666667,-105.05833330000002,0.0004140556337142758,2021-07-21,Top 20%
38.400000000000006,-108.30833330000002,0.0004103063230344778,2021-07-21,Top 20%
40.06666666666667,-105.34999996666667,0.0004087325499206187,2021-07-21,Top 20%
39.775000000000006,-104.34999996666667,0.0004032505972223547,2021-07-21,Top 20%
40.48333333333334,-108.72499996666667,0.0004010039073217965,2021-07-21,Top 20%
37.150000000000006,-103.18333330000002,0.0003867356025486997,2021-07-21,Top 20%
38.98333333333334,-109.01666663333334,0.00038535005146684404,2021-07-21,Top 20%
40.69166666666667,-108.18333330000002,0.00038479811526727386,2021-07-21,Top 20%
39.73333333333334,-104.39166663333334,0.0003838027854072854,2021-07-21,Top 20%
40.06666666666667,-108.68333330000002,0.0003836227756602629,2021-07-21,Top 20%
39.98333333333334,-108.64166663333334,0.00037156970491074965,2021-07-21,Top 20%
38.06666666666667,-103.55833330000002,0.0003704946720822607,2021-07-21,Top 20%
40.56666666666667,-107.14166663333334,0.0003649152371894832,2021-07-21,Top 20%
40.525000000000006,-106.80833330000002,0.0003649152371894832,2021-07-21,Top 20%
40.19166666666667,-108.93333330000002,0.00036467153848835423,2021-07-21,Top 20%
40.44166666666667,-109.01666663333334,0.0003634603992776271,2021-07-21,Top 20%
40.98333333333334,-107.22499996666667,0.0003634603992776271,2021-07-21,Top 20%
40.10833333333334,-102.59999996666667,0.0003561077506274276,2021-07-21,Top 20%
40.025000000000006,-102.34999996666667,0.0003561077506274276,2021-07-21,Top 20%
37.025000000000006,-104.34999996666667,0.0003538961285560264,2021-07-21,Top 20%
40.31666666666667,-107.80833330000002,0.00035222734483150654,2021-07-21,Top 20%
39.31666666666667,-108.84999996666667,0.0003504354799839857,2021-07-21,Top 20%
39.81666666666667,-104.97499996666667,0.0003504354799839857,2021-07-21,Top 20%
39.98333333333334,-102.18333330000002,0.0003460994508880027,2021-07-21,Top 20%
40.525000000000006,-105.26666663333334,0.01054021800070949,2021-07-22,Top 5%
40.10833333333334,-105.30833330000002,0.004656290807953745,2021-07-22,Top 5%
40.150000000000006,-104.93333330000002,0.004644348046561444,2021-07-22,Top 5%
40.10833333333334,-105.26666663333334,0.004236048270532505,2021-07-22,Top 5%
39.31666666666667,-108.80833330000002,0.0024265896429606845,2021-07-22,Top 10%
39.10833333333334,-108.80833330000002,0.0024265896429606845,2021-07-22,Top 10%
40.650000000000006,-105.26666663333334,0.0023772549946986256,2021-07-22,Top 10%
37.35833333333334,-104.26666663333334,0.002153512944214566,2021-07-22,Top 10%
40.35833333333334,-105.26666663333334,0.002151615640346548,2021-07-22,Top 10%
40.23333333333334,-104.89166663333334,0.0019742890237748,2021-07-22,Top 10%
40.35833333333334,-104.97499996666667,0.0019742890237748,2021-07-22,Top 10%
39.900000000000006,-105.22499996666667,0.00193347254546213,2021-07-22,Top 10%
40.69166666666667,-105.09999996666667,0.0018867807374776007,2021-07-22,Top 10%
40.525000000000006,-104.97499996666667,0.0018272801979936028,2021-07-22,Top 10%
39.98333333333334,-104.84999996666667,0.0017418459563608936,2021-07-22,Top 10%
40.025000000000006,-105.26666663333334,0.0017160628489430337,2021-07-22,Top 10%
38.10833333333334,-102.80833330000002,0.0016852608964994806,2021-07-22,Top 10%
40.025000000000006,-105.09999996666667,0.001647123871129126,2021-07-22,Top 10%
37.10833333333334,-103.01666663333334,0.0016379583613674092,2021-07-22,Top 10%
40.35833333333334,-102.47499996666667,0.001446202696091134,2021-07-22,Top 10%
40.525000000000006,-104.68333330000002,0.001422887594301819,2021-07-22,Top 10%
37.06666666666667,-102.43333330000002,0.0013656086632173575,2021-07-22,Top 10%
38.06666666666667,-103.55833330000002,0.0013448479868723932,2021-07-22,Top 10%
37.10833333333334,-102.89166663333334,0.0013447176075457056,2021-07-22,Top 10%
37.150000000000006,-103.01666663333334,0.001337989194352636,2021-07-22,Top 10%
40.60833333333334,-105.30833330000002,0.0007867640442717412,2021-07-22,Top 20%
39.19166666666667,-108.26666663333334,0.0007368830339011248,2021-07-22,Top 20%
39.06666666666667,-108.39166663333334,0.0007368830339011248,2021-07-22,Top 20%
40.35833333333334,-106.72499996666667,0.000734464854855725,2021-07-22,Top 20%
37.85833333333334,-103.26666663333334,0.0007333620546116165,2021-07-22,Top 20%
40.31666666666667,-102.59999996666667,0.000631957991576902,2021-07-22,Top 20%
40.81666666666667,-103.43333330000002,0.0006232894322284705,2021-07-22,Top 20%
40.94166666666667,-105.43333330000002,0.0006014993884759358,2021-07-22,Top 20%
40.31666666666667,-105.22499996666667,0.0005883268622878843,2021-07-22,Top 20%
40.525000000000006,-105.09999996666667,0.0005350314570791392,2021-07-22,Top 20%
37.31666666666667,-104.47499996666667,0.0005350314570791392,2021-07-22,Top 20%
40.525000000000006,-102.05833330000002,0.0005332841426077094,2021-07-22,Top 20%
40.400000000000006,-102.72499996666667,0.0005326336135410248,2021-07-22,Top 20%
37.275000000000006,-104.30833330000002,0.0005290410148316633,2021-07-22,Top 20%
40.525000000000006,-104.59999996666667,0.0005246790155688616,2021-07-22,Top 20%
39.775000000000006,-107.76666663333334,0.0004966270167101157,2021-07-22,Top 20%
39.85833333333334,-106.34999996666667,0.00048658506077523873,2021-07-22,Top 20%
40.94166666666667,-102.39166663333334,0.00047288869838274896,2021-07-22,Top 20%
39.775000000000006,-104.34999996666667,0.0004685532608948322,2021-07-22,Top 20%
39.650000000000006,-104.22499996666667,0.0004685532608948322,2021-07-22,Top 20%
40.275000000000006,-102.55833330000002,0.00045365589220024095,2021-07-22,Top 20%
39.81666666666667,-105.14166663333334,0.0004344363168467456,2021-07-22,Top 20%
38.025000000000006,-103.55833330000002,0.00041629468888595126,2021-07-22,Top 20%
37.400000000000006,-104.14166663333334,0.00041442138608239614,2021-07-22,Top 20%
38.06666666666667,-102.72499996666667,0.000404711306153907,2021-07-22,Top 20%
37.775000000000006,-103.76666663333334,0.00038786455508737615,2021-07-22,Top 20%
38.23333333333334,-104.39166663333334,0.0003872588614301992,2021-07-22,Top 20%
40.06666666666667,-104.72499996666667,0.0003823658239324137,2021-07-22,Top 20%
40.31666666666667,-102.80833330000002,0.0003694978534738281,2021-07-22,Top 20%
37.98333333333334,-103.64166663333334,0.00036793787474616546,2021-07-22,Top 20%
39.48333333333334,-105.09999996666667,0.00036611358323678764,2021-07-22,Top 20%
40.19166666666667,-102.18333330000002,0.0003561077506274276,2021-07-22,Top 20%
39.85833333333334,-105.22499996666667,0.0003504354799839857,2021-07-22,Top 20%
39.275000000000006,-108.89166663333334,0.0003504354799839857,2021-07-22,Top 20%
38.19166666666667,-104.72499996666667,0.0003504354799839857,2021-07-22,Top 20%
38.025000000000006,-104.68333330000002,0.0003504354799839857,2021-07-22,Top 20%
38.150000000000006,-104.76666663333334,0.0003504354799839857,2021-07-22,Top 20%
39.19166666666667,-108.93333330000002,0.0003504354799839857,2021-07-22,Top 20%
40.48333333333334,-104.80833330000002,0.0003503605576351745,2021-07-22,Top 20%
40.025000000000006,-104.93333330000002,0.0003490283547359031,2021-07-22,Top 20%
40.10833333333334,-104.55833330000002,0.0003490283547359031,2021-07-22,Top 20%
38.19166666666667,-103.80833330000002,0.0003488646490702132,2021-07-22,Top 20%
38.150000000000006,-103.76666663333334,0.0003488646490702132,2021-07-22,Top 20%
37.150000000000006,-103.26666663333334,0.00034403854752368006,2021-07-22,Top 20%
40.10833333333334,-103.59999996666667,0.0003422460849079644,2021-07-22,Top 20%
39.900000000000006,-102.34999996666667,0.00033286394385862394,2021-07-22,Top 20%
40.025000000000006,-102.55833330000002,0.00033286394385862394,2021-07-22,Top 20%
40.31666666666667,-102.18333330000002,0.00033286394385862394,2021-07-22,Top 20%
37.48333333333334,-106.18333330000002,0.0003304635454667503,2021-07-22,Top 20%
40.525000000000006,-106.68333330000002,0.0003292135503566523,2021-07-22,Top 20%
38.025000000000006,-102.80833330000002,0.00032162277214609357,2021-07-22,Top 20%
39.900000000000006,-102.09999996666667,0.00031474005320818936,2021-07-22,Top 20%
39.900000000000006,-102.05833330000002,0.00031474005320818936,2021-07-22,Top 20%
40.19166666666667,-102.68333330000002,0.00031474005320818936,2021-07-22,Top 20%
40.150000000000006,-102.39166663333334,0.00031474005320818936,2021-07-22,Top 20%
40.23333333333334,-102.68333330000002,0.00031474005320818936,2021-07-22,Top 20%
